#Device,NGP814
#Device Name,
#Format,LOG
#Date,2022-10-17
#Version,02.006 024C22E07
#Serial No.,100760
#Logging Interval[s],300.000
#Mode,Unlimited
#Start Time,14:19:25
#Stop Time,XX:XX:XX
#Actual Count,0000000000
#Adjustment Ch1,factory
#Adjustment Ch2,factory
#Adjustment Ch3,factory
#Adjustment Ch4,factory
Timestamp,U1[V],I1[A],P1[W],U2[V],I2[A],P2[W],U3[V],I3[A],P3[W],U4[V],I4[A],P4[W]
14:19:25.223,1.302,2.7260,3.550,1.302,2.0750,2.700,1.299,2.8075,3.645,1.298,2.5610,3.325
14:24:25.223,1.301,2.4510,3.190,1.302,1.9050,2.480,1.299,2.7390,3.560,1.298,2.5450,3.305
14:29:25.223,1.301,2.3145,3.010,1.302,1.8250,2.375,1.299,2.6965,3.505,1.298,2.5220,3.275
14:34:25.223,1.301,2.2280,2.900,1.302,1.7900,2.330,1.299,2.6700,3.470,1.298,2.5120,3.260
14:39:25.223,1.300,2.1695,2.820,1.302,1.7815,2.320,1.299,2.6535,3.445,1.297,2.5025,3.245
14:44:25.223,1.301,2.1310,2.770,1.302,1.7830,2.320,1.299,2.6400,3.430,1.297,2.4975,3.240
14:49:25.223,1.301,2.0970,2.730,1.302,1.7885,2.330,1.299,2.6300,3.415,1.298,2.4990,3.245
14:54:25.223,1.301,2.0670,2.690,1.302,1.7925,2.335,1.299,2.6185,3.400,1.298,2.4945,3.240
14:59:25.223,1.300,2.0400,2.650,1.302,1.7960,2.340,1.299,2.6095,3.390,1.298,2.4900,3.230
15:04:25.223,1.300,2.0160,2.620,1.303,1.7995,2.345,1.299,2.6045,3.385,1.298,2.4880,3.230
15:09:25.223,1.301,1.9995,2.600,1.303,1.8020,2.350,1.299,2.5965,3.375,1.298,2.4900,3.230
15:14:25.223,1.301,1.9780,2.575,1.302,1.8050,2.350,1.300,2.5950,3.375,1.298,2.4875,3.230
15:19:25.223,1.301,1.9595,2.550,1.302,1.8080,2.355,1.299,2.5895,3.365,1.298,2.4890,3.230
15:24:25.223,1.301,1.9435,2.530,1.302,1.8120,2.360,1.299,2.5850,3.360,1.298,2.4885,3.230
15:29:25.223,1.301,1.9275,2.510,1.302,1.8160,2.365,1.299,2.5845,3.355,1.298,2.4890,3.230
15:34:25.223,1.301,1.9135,2.490,1.302,1.8215,2.370,1.299,2.5815,3.355,1.297,2.4905,3.230
15:39:25.223,1.301,1.8960,2.465,1.303,1.8265,2.380,1.299,2.5795,3.350,1.298,2.4930,3.235
15:44:25.223,1.301,1.8810,2.445,1.302,1.8300,2.385,1.299,2.5775,3.350,1.298,2.4915,3.235
15:49:25.223,1.301,1.8665,2.430,1.302,1.8350,2.390,1.299,2.5720,3.340,1.298,2.4930,3.235
15:54:25.223,1.300,1.8490,2.405,1.302,1.8390,2.395,1.299,2.5700,3.340,1.298,2.4920,3.235
15:59:25.223,1.301,1.8355,2.390,1.302,1.8440,2.400,1.299,2.5685,3.335,1.298,2.4935,3.235
16:04:25.223,1.300,1.8205,2.365,1.302,1.8510,2.410,1.299,2.5665,3.335,1.297,2.4925,3.235
16:09:25.223,1.300,1.8065,2.350,1.302,1.8570,2.420,1.300,2.5680,3.340,1.298,2.4945,3.240
16:14:25.223,1.301,1.7965,2.335,1.302,1.8630,2.425,1.299,2.5660,3.335,1.298,2.4985,3.245
16:19:25.223,1.300,1.7800,2.315,1.302,1.8690,2.435,1.299,2.5645,3.330,1.298,2.4980,3.240
16:24:25.223,1.301,1.7705,2.305,1.302,1.8770,2.445,1.299,2.5600,3.325,1.298,2.5000,3.245
