#Device,NGP814
#Device Name,
#Format,LOG
#Date,2022-10-27
#Version,02.006 024C22E07
#Serial No.,100760
#Logging Interval[s],300.000
#Mode,Unlimited
#Start Time,20:17:00
#Stop Time,XX:XX:XX
#Actual Count,0000000000
#Adjustment Ch1,factory
#Adjustment Ch2,factory
#Adjustment Ch3,factory
#Adjustment Ch4,factory
Timestamp,U1[V],I1[A],P1[W],U2[V],I2[A],P2[W],U3[V],I3[A],P3[W],U4[V],I4[A],P4[W]
20:17:00.230,1.100,0.4635,0.510,1.101,0.9420,1.035,1.099,0.8145,0.895,1.098,1.7160,1.885
20:22:00.230,1.100,0.4590,0.505,1.101,0.9450,1.040,1.098,0.8075,0.885,1.098,1.7160,1.885
20:27:00.230,1.100,0.4545,0.500,1.101,0.9450,1.040,1.098,0.8030,0.880,1.098,1.7130,1.880
20:32:00.230,1.100,0.4515,0.495,1.100,0.9470,1.040,1.098,0.7975,0.875,1.098,1.7105,1.880
20:37:00.230,1.100,0.4470,0.490,1.101,0.9480,1.045,1.099,0.7920,0.870,1.098,1.7100,1.880
20:42:00.230,1.100,0.4445,0.490,1.101,0.9495,1.045,1.098,0.7895,0.865,1.098,1.7075,1.875
20:47:00.230,1.100,0.4415,0.485,1.101,0.9505,1.045,1.099,0.7915,0.870,1.098,1.7040,1.870
20:52:00.230,1.100,0.4385,0.480,1.101,0.9530,1.050,1.099,0.7860,0.865,1.097,1.7045,1.870
20:57:00.230,1.100,0.4350,0.480,1.100,0.9540,1.050,1.099,0.7805,0.860,1.097,1.7090,1.875
21:02:00.230,1.100,0.4315,0.475,1.101,0.9550,1.050,1.098,0.7730,0.850,1.098,1.7090,1.875
21:07:00.230,1.100,0.4300,0.475,1.100,0.9555,1.050,1.099,0.7735,0.850,1.098,1.7045,1.870
21:12:00.230,1.100,0.4260,0.470,1.101,0.9575,1.055,1.098,0.7705,0.845,1.098,1.7000,1.865
21:17:00.230,1.100,0.4240,0.465,1.100,0.9570,1.055,1.099,0.7650,0.840,1.098,1.7080,1.875
21:22:00.230,1.100,0.4210,0.465,1.101,0.9580,1.055,1.098,0.7590,0.835,1.098,1.7055,1.875
21:27:00.230,1.100,0.4180,0.460,1.101,0.9600,1.055,1.099,0.7635,0.840,1.098,1.6990,1.865
21:32:00.230,1.100,0.4140,0.455,1.101,0.9595,1.055,1.098,0.7615,0.835,1.098,1.6960,1.860
21:37:00.230,1.100,0.4120,0.455,1.101,0.9600,1.055,1.098,0.7540,0.830,1.098,1.7030,1.870
21:42:00.230,1.100,0.4105,0.450,1.101,0.9615,1.060,1.098,0.7520,0.825,1.097,1.7000,1.865
21:47:00.230,1.100,0.4080,0.450,1.100,0.9605,1.055,1.099,0.7540,0.830,1.097,1.6955,1.860
21:52:00.230,1.100,0.4065,0.445,1.101,0.9625,1.060,1.099,0.7510,0.825,1.097,1.6880,1.850
21:57:00.230,1.100,0.4040,0.445,1.101,0.9630,1.060,1.098,0.7430,0.815,1.098,1.6915,1.855
22:02:00.230,1.100,0.4005,0.440,1.100,0.9630,1.060,1.098,0.7465,0.820,1.098,1.6860,1.850
22:07:00.230,1.100,0.3985,0.440,1.100,0.9630,1.060,1.098,0.7420,0.815,1.098,1.6850,1.850
22:12:00.230,1.100,0.3970,0.435,1.100,0.9635,1.060,1.099,0.7380,0.810,1.098,1.6820,1.845
22:17:00.230,1.101,0.3950,0.435,1.101,0.9645,1.060,1.098,0.7345,0.805,1.097,1.6935,1.860
22:22:00.230,1.100,0.3930,0.430,1.101,0.9645,1.060,1.099,0.7315,0.805,1.098,1.6910,1.855
22:27:00.230,1.100,0.3910,0.430,1.101,0.9650,1.060,1.098,0.7210,0.790,1.098,1.6875,1.855
22:32:00.230,1.100,0.3900,0.430,1.101,0.9660,1.065,1.098,0.7185,0.790,1.098,1.6815,1.845
22:37:00.230,1.100,0.3890,0.430,1.101,0.9640,1.060,1.099,0.7240,0.795,1.097,1.6785,1.840
22:42:00.230,1.100,0.3875,0.425,1.101,0.9645,1.060,1.098,0.7180,0.790,1.097,1.6765,1.840
22:47:00.230,1.100,0.3865,0.425,1.101,0.9645,1.060,1.098,0.7090,0.780,1.098,1.6780,1.840
22:52:00.230,1.100,0.3855,0.425,1.101,0.9630,1.060,1.098,0.7065,0.775,1.098,1.6835,1.850
22:57:00.230,1.100,0.3850,0.425,1.101,0.9630,1.060,1.099,0.7140,0.785,1.098,1.6775,1.840
23:02:00.230,1.100,0.3840,0.420,1.101,0.9630,1.060,1.099,0.7110,0.780,1.098,1.6695,1.835
23:07:00.230,1.100,0.3830,0.420,1.101,0.9620,1.060,1.098,0.7020,0.770,1.098,1.6685,1.830
23:12:00.230,1.100,0.3815,0.420,1.101,0.9625,1.060,1.098,0.6945,0.765,1.098,1.6670,1.830
23:17:00.230,1.100,0.3800,0.420,1.101,0.9630,1.060,1.099,0.6900,0.760,1.097,1.6665,1.830
