datetime,strt,ID,Tmp1,Tmp2,Cnt,stp
2022-12-06 17:52:21,-*,3,35.75,35.81,627,"*-
"
2022-12-06 17:52:21,-*,3,35.75,35.81,627,"*-
"
2022-12-06 17:52:21,-*,3,35.75,35.81,627,"*-
"
2022-12-06 17:52:21,-*,3,35.75,35.81,627,"*-
"
2022-12-06 17:52:22,-*,3,35.75,35.88,627,"*-
"
2022-12-06 17:52:25,-*,3,35.75,35.88,627,"*-
"
2022-12-06 17:52:29,-*,3,35.75,35.81,627,"*-
"
2022-12-06 17:52:33,-*,3,35.75,35.88,627,"*-
"
2022-12-06 17:52:37,-*,3,35.75,35.88,627,"*-
"
2022-12-06 17:52:41,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:52:45,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:52:48,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:52:52,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:52:56,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:53:00,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:53:04,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:53:08,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:53:12,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:53:15,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:53:19,-*,3,35.75,35.81,628,"*-
"
2022-12-06 17:53:23,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:53:27,-*,3,35.75,35.81,628,"*-
"
2022-12-06 17:53:31,-*,3,35.75,35.81,628,"*-
"
2022-12-06 17:53:35,-*,3,35.75,35.81,628,"*-
"
2022-12-06 17:53:39,-*,3,35.75,35.81,628,"*-
"
2022-12-06 17:53:42,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:53:46,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:53:50,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:53:54,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:53:58,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:02,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:06,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:09,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:13,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:17,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:21,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:24,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:28,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:32,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:36,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:40,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:43,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:47,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:51,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:55,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:54:59,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:03,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:07,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:10,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:14,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:18,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:22,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:26,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:30,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:34,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:37,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:41,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:45,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:49,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:53,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:55:57,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:56:01,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:56:04,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:56:08,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:56:12,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:56:15,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:56:19,-*,3,35.75,35.88,628,"*-
"
2022-12-06 17:56:23,-*,3,35.75,35.88,629,"*-
"
